"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","141","DELETE /users/{id} with valid id returns 200","Regression Suite","2026-09-23","passed","2026-09-23","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_withValidId_returns200"
"","14","GET /posts/99999 contract returns 404","Contract Suite","2026-09-23","passed","2026-09-23","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getPost_nonExistent_contractReturns404"
"","32","DELETE /users/1 contract returns 200","Contract Suite","2026-09-23","passed","2026-09-23","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","deleteUser_contractReturns200"
"","125","POST /posts creates a post — data-driven","Regression Suite","2026-09-23","passed","2026-09-23","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","222","GET /users/1 response matches consumer schema contract","Contract Suite","2026-09-23","passed","2026-09-23","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_responseMatchesSchemaContract"
"","86","DELETE /users/{id} response has json content type","Regression Suite","2026-09-23","passed","2026-09-23","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_responseHasJsonContentType"
"","146","GET /posts returns 200 with non-empty list","Regression Suite","2026-09-23","passed","2026-09-23","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getAllPosts_returns200"
"","292","POST /users with full payload returns 201 with id assigned","Regression Suite","2026-09-23","passed","2026-09-23","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","createUser_withFullPayload_returns201AndAssignsId"
"","127","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","2026-09-23","passed","2026-09-23","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_withFullPayload_returns200"
"","3894","GET /users returns 200 with non-empty list","Regression Suite","2026-09-23","passed","2026-09-23","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getAllUsers_returns200WithNonEmptyList"
"","97","getPost_nonExistentId_returns404","Negative Suite","2026-09-23","passed","2026-09-23","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_nonExistentId_returns404"
"","27","GET /posts returns list contract","Contract Suite","2026-09-23","passed","2026-09-23","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getAllPosts_contractReturnsList"
"","162","deletePost_nonExistentId_respondsWithinSla","Negative Suite","2026-09-23","passed","2026-09-23","com.vinoth.automation.tests.posts.PostNegativeTests","Negative Tests","com.vinoth.automation.tests.posts.PostNegativeTests","deletePost_nonExistentId_respondsWithinSla"
